id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,availability_365
"2708",Fireplace Mirrored Mini Suit (Website hidden by Airbnb) W. Hollywood,"3008",Chas.,Hollywood,34.09768,-118.34602,Private room,"79","28","276"
"6931",Off Sunset Wrap-Around Terr Runyon Canyon View WeH,"3008",Chas.,Hollywood,34.09521,-118.34801,Private room,"99","28","187"
"20965",Harmony in Hollywood @HouseOfAlchemyLA,"79697",Shay,Hollywood,34.09845,-118.32151,Private room,"74","2","303"
"44062",Heart of Hollywood- The Original,"192939",Lisa,Hollywood,34.09179,-118.33111,Entire home/apt,"129","10","180"
"50005",Guest House - Nightly or Weekly,"49391",Michelle,Hollywood,34.09596,-118.34985,Entire home/apt,"130","2","66"
"117715",Hollywood Holiday,"594520",Stephen,Hollywood,34.1024,-118.33391,Entire home/apt,"120","1","207"
"171239",Sunny Hollywood - Walk Everywhere!,"816926",Paul,Hollywood,34.09479,-118.33593,Private room,"79","3","168"
"198613",Stylish Bungalow House- In TheTrendy Melrose Area.,"969656",Jeffrey,Hollywood,34.08716,-118.34408,Entire home/apt,"95","31","328"
"228395",1920's Glamour on The Sunset Strip,"1191603",Jim,Hollywood,34.09766,-118.35586,Entire home/apt,"95","3","0"
"255656",Classic Central Hollywood Gem,"1343997",Hollywood,Hollywood,34.1044,-118.32403,Entire home/apt,"139","5","270"
"255701",Lovely Hollywd Apt-w/ porch&garden,"1343997",Hollywood,Hollywood,34.10276,-118.32391,Entire home/apt,"150","5","350"
"281139",Stylish Hollywood Loft with Views!,"1465514",Jeremiah,Hollywood,34.09771,-118.31595,Entire home/apt,"115","1","287"
"295630",The Harper Suite,"1526671",Mindy,Hollywood,34.08597,-118.33267,Entire home/apt,"185","3","365"
"295659",The Harper Residence,"1526671",Mindy,Hollywood,34.08556,-118.33465,Entire home/apt,"695","3","365"
"326787",Room with en suite bathroom,"34583",Elaine,Hollywood,34.10148,-118.35387,Private room,"96","1","348"
"339123",Rocking Hollywood Loft: guest BR,"1397408",Jeremy,Hollywood,34.09572,-118.34555,Private room,"69","2","7"
"365635",West Hollywood Dream Retreat,"1846253",Jainée,Hollywood,34.09505,-118.35053,Entire home/apt,"125","5","0"
"383798",Between Urban and Nature,"1169031",Dan,Hollywood,34.10426,-118.31372,Entire home/apt,"70","5","0"
"394508",Charming Craftsman Guest House Monthly Rates Avail,"1972326",Craig,Hollywood,34.09543,-118.33486,Entire home/apt,"125","2","343"
"431476",Hollywood Retreat-Central-Walkable,"1343997",Hollywood,Hollywood,34.10411,-118.32431,Entire home/apt,"140","5","365"
"446757",Hollywood Retreat-Balcony+City View,"1343997",Hollywood,Hollywood,34.10389,-118.32426,Entire home/apt,"163","5","355"
"500656",Hollywood Furnished Studio Apt  #2,"2442084",Herbert,Hollywood,34.09327,-118.33071,Entire home/apt,"86","4","70"
"500876",Hollywood Furnished Studio Apt #1,"2442084",Herbert,Hollywood,34.09309,-118.33037,Entire home/apt,"92","5","5"
"504526",TpFlr 3b Hollywood/PVT Ensuite Bath,"90686",Patrick,Hollywood,34.08864,-118.33318,Private room,"69","3","38"
"514836",Serenity in Hollywood @HouseOfAlchemyLA,"79697",Shay,Hollywood,34.09834,-118.32138,Private room,"78","2","54"
"533646",MY HOLLYWOOD SPACE RENTALS  #15,"2622454",Mary,Hollywood,34.102,-118.32855,Private room,"65","1","0"
"537446",(LOCATION & Luxury),"2640094",Ashton,Hollywood,34.09936,-118.35199,Private room,"100","20","365"
"588949",Home in The Heart of Hollywood,"2904967",Frankie,Hollywood,34.09595,-118.34531,Entire home/apt,"275","4","343"
"589056",Home near Hollywood Walk of Fame,"2904967",Frankie,Hollywood,34.09728,-118.34454,Entire home/apt,"289","4","342"
"600344",Private Queen Room in West Hollywood,"2324191",Elisa,Hollywood,34.09496,-118.35028,Private room,"87","1","360"
"620400",Beautiful Craftsman Home Hollywood,"1972326",Craig,Hollywood,34.09706,-118.33304,Entire home/apt,"275","3","173"
"644008",MY HOLLYWOOD SPACE RENTALS  #16,"2622454",Mary,Hollywood,34.10055,-118.32949,Private room,"65","1","309"
"644009",MY HOLLYWOOD SPACE RENTALS #17,"2622454",Mary,Hollywood,34.10061,-118.3282,Private room,"65","1","323"
"645757",Hollywood Holiday (Bedroom only),"594520",Stephen,Hollywood,34.10223,-118.33496,Private room,"70","1","207"
"664336","Gorgeous, Secure Hollywood Condo","3356434",Kenan,Hollywood,34.08613,-118.33247,Entire home/apt,"100","240","365"
"669590",MY HOLLYWOOD SPACE RENTALS #18,"2622454",Mary,Hollywood,34.1013,-118.32964,Private room,"65","1","290"
