id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,availability_365
"221502",Wilshire Center (Vermont/Wilshire),"1149254",Grant,Koreatown,34.06455,-118.29592,Private room,"65","7","0"
"282140","Los Angeles, Hollywood / Downtown 4","1466173",Kelly,Koreatown,34.05891,-118.29193,Private room,"50","2","328"
"373515",LA Hancock Park Hollywood Blue Room - Private Room,"1007758",Jennifer,Koreatown,34.05576,-118.3198,Private room,"75","32","1"
"523833","Los Angeles, Hollywood / Downtown Z","1466173",Kelly,Koreatown,34.05958,-118.29356,Private room,"65","2","279"
"523997","Los Angeles, Hollywood / Downtown 2","1466173",Kelly,Koreatown,34.05934,-118.29229,Private room,"45","2","326"
"524000","Los Angeles, Hollywood / Downtown 1","1466173",Kelly,Koreatown,34.05923,-118.29334,Private room,"59","2","353"
"854566","Master Bedroom/ Qun Bed & Sngle Bed, Sofabed(Yell)","4463643",Sean,Koreatown,34.07068,-118.30366,Private room,"84","30","0"
"858299",Queen Bed & Private Bath w/ Balcony(Blue Room),"4463643",Sean,Koreatown,34.07185,-118.30156,Private room,"68","30","133"
"858343",Full Bed + Sngl Bed & Prvt Bath in K-twn(Red Room),"4463643",Sean,Koreatown,34.07117,-118.30189,Private room,"72","30","68"
"858368",Qun Bed w Prvt Bath in Cntrl K-Twn(Green Room),"4463643",Sean,Koreatown,34.07062,-118.30136,Private room,"74","30","154"
"914595",AWESOME Room in a COOL 1 br loft,"2772964",Sami,Koreatown,34.07422,-118.31038,Private room,"65","2","82"
"978074",sunny private 1BR loft with balcony in koreatown,"1119294",James,Koreatown,34.06778,-118.31113,Entire home/apt,"95","3","11"
"1049455",LA City’s  heART *Secure+Private* and Convenient,"3982800",Andy,Koreatown,34.06529,-118.29937,Private room,"43","1","21"
"1148231",Modern Craftsman Guest House  ,"4124446",Carrie,Koreatown,34.06982,-118.3125,Entire home/apt,"100","4","0"
"1256115","Guest house,Private Yard & Entrance","6842396",Rosa & Esfandiar,Koreatown,34.05851,-118.31733,Entire home/apt,"125","3","80"
"1283815",Ktown Home Luxury/Relax/Comfort/Zen,"6562223",Mariano,Koreatown,34.07604,-118.29839,Entire home/apt,"241","2","347"
"1393501",Beautiful 2BR in Larchmont Village,"157662",Libby,Koreatown,34.07118,-118.3106,Entire home/apt,"200","4","358"
"1442790",Tidy apartment near transit & sites,"6866075",Jill,Koreatown,34.06475,-118.28841,Entire home/apt,"90","2","0"
"1746236",Mid City Large Cozy Apt 5min walk 2 subway station,"1292024",Annabel,Koreatown,34.06596,-118.29537,Entire home/apt,"653","30","0"
"1747484",Gorgeous private room near DTLA. Central to all.,"1683600",Carolina,Koreatown,34.06119,-118.29438,Private room,"60","30","312"
"1802843",BE IN THE CENTER OF FUN. LA STUDIO,"9451607",Jorge,Koreatown,34.06174,-118.29957,Entire home/apt,"55","1","0"
"1811850",Spacious Los Angeles Studio - Amazing Sunset View,"9492584",Scott,Koreatown,34.06969,-118.29221,Entire home/apt,"68","1","23"
"1955558",Sunny Private Bedroom in Koreatown,"6242989",Samia,Koreatown,34.07495,-118.29231,Private room,"80","1","0"
"1997937",PRIVATE ONE BDRM IN BEAUTIFUL APT,"10294350",Chris,Koreatown,34.05623,-118.3046,Entire home/apt,"102","5","0"
"2017283",Comfortable apt close to everything,"10373582",Patrick,Koreatown,34.06098,-118.31043,Entire home/apt,"70","90","169"
"2098870",COZY APARTMENT with Fireplace Ktown,"4153286",Margerita,Koreatown,34.06603,-118.305,Entire home/apt,"65","2","0"
"2216641",The best little room in LA!,"1466173",Kelly,Koreatown,34.05869,-118.29331,Private room,"50","2","235"
"2299803","Central, Charming Urban Oasis","11748255",Day.,Koreatown,34.07185,-118.30821,Private room,"42","28","3"
"2601048",Home Away From Home,"13320150",Lara,Koreatown,34.06332,-118.29217,Entire home/apt,"81","3","19"
"2942975",Exquisite 1920's apt heart of L.A,"15025089",Alberto,Koreatown,34.05977,-118.31414,Entire home/apt,"110","20","0"
"3311544",Clean and quiet. Private room in shared apt :),"200159",Narciso,Koreatown,34.06777,-118.29922,Private room,"89","13","365"
"3487768","Downtown, LA, Koreatown; Quiet Master in Huge Home","5469474",Angel BnB’s,Koreatown,34.05372,-118.30164,Private room,"86","2","9"
"3645592","Bright, Spacious Ktown Gem w/ Parking","18414308",Alex,Koreatown,34.07328,-118.28959,Entire home/apt,"109","2","0"
"3655176","2Br&2Ba, Large Beautiful view condo","7708896",Rick,Koreatown,34.05657,-118.30813,Entire home/apt,"250","2","365"
"3739971","Lovely 1 Bedroom, Hancock park & Sunshine","19120478",Lisa,Koreatown,34.06404,-118.31164,Entire home/apt,"77","15","362"
"3869396",Perfect Vacation Spot!,"13320150",Lara,Koreatown,34.06262,-118.29352,Entire home/apt,"81","2","18"
"3950712",Casa de Carlos - The Patriot in LA,"3021177",Carlos,Koreatown,34.07165,-118.30951,Entire home/apt,"87","2","0"
"4100790",Fully Furnished Home away from Home,"21271685",Beanie,Koreatown,34.06314,-118.29061,Entire home/apt,"150","1","0"
"4410211",Great cozy large studio apt in KTown close to all!,"22762836",Rhonda,Koreatown,34.06598,-118.28755,Entire home/apt,"49","4","10"
"4541346",A GEM 3.3 miles -Hollywood/Downtown,"761042",Mary,Koreatown,34.07558,-118.28704,Entire home/apt,"94","31","355"
"4744924",Beautiful Spacious 2bd w/Parking,"21979259",Savannah,Koreatown,34.05576,-118.2955,Entire home/apt,"160","1","256"
"4839411",Beautiful Art Deco apartment,"6734458",Max,Koreatown,34.05746,-118.31233,Entire home/apt,"90","3","0"
"4932150",1930's Gracious Style,"1149254",Grant,Koreatown,34.06385,-118.29452,Private room,"75","7","0"
"4985664",LIVING ROOM SPACE for 3Month Sublet,"25701050",Shae,Koreatown,34.0594,-118.30024,Shared room,"20","62","365"
"5002496",Kings Lovers Retreat,"25690849",Joshua,Koreatown,34.05873,-118.31136,Private room,"110","1","164"
"5006783",#2 Guesthouse Bath/kitchen,"25690849",Joshua,Koreatown,34.0603,-118.31235,Entire home/apt,"135","1","146"
"5386448","Quiet, Sun filled Home, k-town/mid Wilshire","25690849",Joshua,Koreatown,34.06047,-118.31265,Entire home/apt,"174","1","170"
"5536454",#1 guest house Bath&kitchen,"25690849",Joshua,Koreatown,34.05833,-118.31151,Entire home/apt,"107","1","68"
"5661094",#3 Cheery KOREATOWN 1BD + PARKING,"1492783",Joanna,Koreatown,34.06016,-118.30392,Entire home/apt,"119","2","342"
"5805878",Furnished room in a charming 1 bed apartment,"29764429",Dzitouo,Koreatown,34.06739,-118.31097,Shared room,"130","1","348"
"5821069","Family apartment, private room  - only for girls","30154376",Mehman And Banovsha,Koreatown,34.05992,-118.29882,Private room,"44","3","326"
"5930824",Private Room - Centrally Located,"30792072",Jeanette,Koreatown,34.07056,-118.31272,Private room,"51","2","40"
"5948590",LA Private Room 4-Poster Bed - Historic Home,"1007758",Jennifer,Koreatown,34.05583,-118.32121,Private room,"75","1","48"
"6044303",KTown Studio/private yard/firepit,"6562223",Mariano,Koreatown,34.07451,-118.29983,Entire home/apt,"105","2","342"
"6088651",Centrally Located Top Floor Private Apartment!,"30792072",Jeanette,Koreatown,34.07056,-118.31203,Entire home/apt,"95","4","0"
"6142690",Beautiful Apt in Koreatown,"6149987",Emma,Koreatown,34.0725,-118.30477,Entire home/apt,"100","1","0"
"6210980",Bright and Cheery Studio in K-Town,"32205948",Casey,Koreatown,34.07323,-118.30166,Entire home/apt,"116","1","0"
"6327352",LA  Hollywood Hancock Park Balcony Room,"1007758",Jennifer,Koreatown,34.05711,-118.32083,Private room,"75","32","49"
"6403940",Downstairs bed room and bath,"23535330",Bebe,Koreatown,34.07163,-118.31079,Private room,"150","1","365"
"6404515",Sunny Hancock Park Craftsman,"23535330",Bebe,Koreatown,34.06989,-118.31143,Entire home/apt,"800","1","0"
"6405307",Spacious 1 bedroom ap in LA,"10815469",Fernando,Koreatown,34.07075,-118.31134,Entire home/apt,"84","1","364"
"6412917",Sunset suite! With Private porch..,"25690849",Joshua,Koreatown,34.05819,-118.31083,Private room,"85","1","167"
"6421468",Peaceful place,"25690849",Joshua,Koreatown,34.05983,-118.31273,Private room,"73","1","156"
"6425619",Cozy Studio in Korea Town,"9681619",Christopher,Koreatown,34.06957,-118.30914,Entire home/apt,"90","2","364"
"6515714",Charming Studio w/lots of character,"34070047",Levi,Koreatown,34.0761,-118.29572,Entire home/apt,"95","2","0"
"6523752",Modern 1 Bedroom in trendy LA area,"34118282",Tom,Koreatown,34.06871,-118.30237,Entire home/apt,"100","119","0"
"6591077",Koreatown Nicely Appointed Parking,"2498085",William,Koreatown,34.06754,-118.30028,Entire home/apt,"87","1","0"
"6675769",Private bathroom & entry. Coral Cove,"25690849",Joshua,Koreatown,34.06025,-118.31302,Entire home/apt,"67","1","167"
"6750870",Cozy Studio in Koreatown,"1848707",Marjorie,Koreatown,34.06582,-118.30093,Entire home/apt,"73","4","0"
"6797176",A view in south Hollywood,"35579653",Robert,Koreatown,34.06147,-118.31202,Private room,"85","2","317"
"6850488",Elegant Westlake Studio,"91456",Allinson Kenneth,Koreatown,34.06838,-118.29414,Entire home/apt,"107","4","39"
"6868670",Comfy Studio Apartment in the heart of Koreatown,"6356440",De,Koreatown,34.07042,-118.29824,Entire home/apt,"65","4","0"
"6911261",Private Bedroom+Living room+More,"36217944",Luis,Koreatown,34.06085,-118.30127,Private room,"60","30","0"
