id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,availability_365
"8770",Cozy Guest House on Venice Walk St.,"26996",Lillian,Venice,33.99399,-118.45637,Entire home/apt,"121","3","348"
"9376","Bright Apt, walk to Venice Beach","30319",Cristina,Venice,33.99638,-118.47734,Private room,"95","2","362"
"15440",Venice Beach Walkstreet Getaway,"60473",Maddy,Venice,33.99359,-118.46049,Entire home/apt,"140","2","290"
"17860",AMAZING ART LOFT GUESTHOUSE IN VENICE!,"55422",Jane,Venice,33.98816,-118.45377,Entire home/apt,"175","31","317"
"18041",Bohemian home w/detached Studio & Rooftop Jacuzzi,"69546",Lisa,Venice,33.99138,-118.45087,Entire home/apt,"300","3","40"
"18067",Bohemian home w/rooftop jacuzzi  & tiki bar,"69546",Lisa,Venice,33.99065,-118.44962,Entire home/apt,"200","1","87"
"20585","Private Studio, 6 Doors to Beach","77857",Barbara,Venice,33.98065,-118.46519,Entire home/apt,"124","2","84"
"23925",Cactus Flower - Modernist Solar Guesthouse with Large Garden,"95543",Modern,Venice,34.00416,-118.46602,Entire home/apt,"249","3","233"
"24028",Venice Place - Modern Solar Retreat with Garden,"95543",Modern,Venice,34.00246,-118.46515,Entire home/apt,"249","3","349"
"24030",Beach Bungalow one block to ocean,"96147",Michaela,Venice,33.98798,-118.47301,Entire home/apt,"150","2","355"
"27558",Early Century Charm by the Beach,"119098",Michael,Venice,33.98958,-118.46812,Entire home/apt,"450","2","13"
"54829",Beautiful Venice Beach Home Oasis,"257925",Yvonne,Venice,34.00061,-118.46353,Entire home/apt,"125","2","314"
"55427",4 Sunny one bedroom upper on Walk Street in Venice,"261676",Rhoda,Venice,33.98934,-118.47375,Entire home/apt,"125","2","343"
"61578",Find Peace at an Urban Oasis with Floor-to-Ceiling Glass,"298123",Michael,Venice,33.99201,-118.4699,Entire home/apt,"600","2","343"
"72702",Small Studio - Ocean View & Steps from the sand!,"241701",Erin & Loic,Venice,33.98371,-118.46995,Entire home/apt,"95","2","214"
"77025",Beach close studio with loft in Venice,"411877",Alice,Venice,33.99746,-118.47153,Entire home/apt,"135","4","28"
"101588","A Room with a View, Venice Historic Canals","532071",Mark,Venice,33.98652,-118.46634,Entire home/apt,"400","7","79"
"124057",Real VENICE Cozy Boho Chic. Perfect Street.,"17569",Michelle,Venice,33.9954,-118.45834,Private room,"115","3","0"
"139143",Artist's Tropical Venice Oasis,"671184",Simon & Darla,Venice,33.99297,-118.46786,Entire home/apt,"184","3","91"
"153412",Beautiful Venice Beach Canal house,"737626",Kaj,Venice,33.98498,-118.46717,Entire home/apt,"275","2","79"
"175770","Cozy room in Venice, close to beach","840140",Megan,Venice,33.98869,-118.46013,Private room,"79","3","0"
"182083",Gorgeous Abbot Kinney Loft!,"515469",Kelly,Venice,33.98981,-118.46249,Entire home/apt,"275","3","0"
"184314",Boho Chic Flat..Steps to Beach!,"884031",Andrea,Venice,33.97703,-118.46318,Entire home/apt,"150","3","0"
"215161",MARINA BEACH BUNGALOWS,"1111042",Thomasina,Venice,33.97556,-118.46439,Entire home/apt,"205","2","40"
"216209",The Common House in Venice Beach,"1037820",The Common House,Venice,34.00217,-118.46811,Entire home/apt,"248","3","0"
"219486",Charming 1 BDRM in Venice CA,"817624",Brooke,Venice,33.99525,-118.4484,Private room,"150","1","364"
"222200",Venice luxury home. Amazing location! 5 bedrooms,"1124533",Cameron + Ramaa,Venice,33.99302,-118.4606,Entire home/apt,"550","3","357"
"226869","Large luxury apt. w/ pool, etc.","1183585",Brian,Venice,33.98685,-118.44465,Private room,"65","3","0"
"234355",Pvt. Suite in Venice Estate w Bikes,"1227188",Judy & Anna,Venice,34.00058,-118.45125,Private room,"95","2","316"
"237985","Venice Walk Street Casita ""Girl""","1247886",Megan,Venice,33.99475,-118.45821,Entire home/apt,"249","3","165"
"237988",Walk to Venice Beach from a Family-Friendly Home,"1247886",Megan,Venice,33.99568,-118.45674,Entire home/apt,"515","2","142"
"254259","Tranquil and Contemporary Secluded Guesthouse in Venice, Ca","1335578",Derek,Venice,34.00406,-118.45594,Entire home/apt,"155","2","242"
"255704",Light Bright Venice Beach 2 bedroom,"1261812",Janin,Venice,33.99732,-118.4719,Entire home/apt,"185","1","0"
"262395",Modern Bohemian-Style Home in Venice Beach,"1376554",Ilan And Yana,Venice,33.9967,-118.46967,Entire home/apt,"330","2","57"
"266975",Zen Retreat with Heart in Creative & Cozy House,"1399964",Bea & Henning,Venice,33.99811,-118.46439,Entire home/apt,"200","3","268"
"268130",Venice Beach COZY HOUSE RENTAL,"1405441",Jay,Venice,33.98827,-118.46751,Entire home/apt,"250","2","0"
"270867",1 Venice Apartment 1/2 block from the sand,"261676",Rhoda,Venice,33.99026,-118.47503,Entire home/apt,"125","2","321"
"273119",VENICE RETREAT DESIGNER POOLHOUSE,"1429142",Gabriela,Venice,33.99687,-118.4559,Entire home/apt,"115","4","272"
"278184","Cozy, Beach Pad in Venice Beach","998027",Helen,Venice,33.99242,-118.47857,Entire home/apt,"105","2","0"
"279673",This Venice Beach Home Has It All - Even A/C!,"1320246",Sunny,Venice,33.98519,-118.46984,Entire home/apt,"225","1","101"
"280238",Super Ocean View Steps2Beach Loft ,"1461008",Matthias,Venice,33.98866,-118.4741,Entire home/apt,"155","3","0"
"298909",Big Room w/ Marina View & Prvt Bath,"1540454",Rick,Venice,33.96944,-118.45471,Private room,"200","1","365"
